Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
Hikmah Channel,sudah berusaha berkali-kali ganti nomor tetap tidak bisa walaupun sudah mengikuti semua langkah di Diana. akhirnya buka dana baru tapi tidak bisa melakukan pemindahan dari nomor lama ke nomor baru. begitu sulitnya mengganti nomor walau dilakukan berbagai cara. coba permudah pergantian nomor atau permudah satu KTP bisa daftar dua akun dana dengan nomor yang berbeda,1,7/7/2025 2:49,sudah berusaha berkali-kali ganti nomor tetap tidak bisa walaupun sudah mengikuti semua langkah di diana. akhirnya buka dana baru tapi tidak bisa melakukan pemindahan dari nomor lama ke nomor baru. begitu sulitnya mengganti nomor walau dilakukan berbagai cara. coba permudah pergantian nomor atau permudah satu ktp bisa daftar dua akun dana dengan nomor yang berbeda,sudah berusaha berkalikali ganti nomor tetap tidak bisa walaupun sudah mengikuti semua langkah di diana akhirnya buka dana baru tapi tidak bisa melakukan pemindahan dari nomor lama ke nomor baru begitu sulitnya mengganti nomor walau dilakukan berbagai cara coba permudah pergantian nomor atau permudah satu ktp bisa daftar dua akun dana dengan nomor yang berbeda,berusaha berkalikali ganti nomor tetap walaupun mengikuti semua langkah diana akhirnya buka dana baru melakukan pemindahan nomor lama nomor baru sulitnya mengganti nomor dilakukan berbagai cara coba permudah pergantian nomor permudah satu ktp daftar akun dana nomor berbeda,"['berusaha', 'berkalikali', 'ganti', 'nomor', 'tetap', 'walaupun', 'mengikuti', 'semua', 'langkah', 'diana', 'akhirnya', 'buka', 'dana', 'baru', 'melakukan', 'pemindahan', 'nomor', 'lama', 'nomor', 'baru', 'sulitnya', 'mengganti', 'nomor', 'dilakukan', 'berbagai', 'cara', 'coba', 'permudah', 'pergantian', 'nomor', 'permudah', 'satu', 'ktp', 'daftar', 'akun', 'dana', 'nomor', 'berbeda']",usaha berkalikali ganti nomor tetap walaupun ikut semua langkah ana akhir buka dana baru laku pindah nomor lama nomor baru sulit ganti nomor laku bagai cara coba mudah ganti nomor mudah satu ktp daftar akun dana nomor beda
Wiwi Distrot,kasih 3 dullu soalnya fitur aplikasi belom lengkap belom ada fitur dana instan,3,7/7/2025 2:48,kasih 3 dullu soalnya fitur aplikasi belom lengkap belom ada fitur dana instan,kasih dullu soalnya fitur aplikasi belom lengkap belom ada fitur dana instan,kasih dullu soalnya fitur aplikasi belom lengkap belom fitur dana instan,"['kasih', 'dullu', 'soalnya', 'fitur', 'aplikasi', 'belom', 'lengkap', 'belom', 'fitur', 'dana', 'instan']",kasih dullu soal fitur aplikasi bom lengkap bom fitur dana instan
Wawan Lebong,kenapa dana cicilan aku tidak ada?,1,7/7/2025 2:47,kenapa dana cicilan aku tidak ada?,kenapa dana cicilan aku tidak ada,dana cicilan aku,"['dana', 'cicilan', 'aku']",dana cicil aku
Kevin Arka Pratama,terimah kasih DANA..KRNA ada nya sekarang ewallet DANA sangat membantu buat di jadikan dompet digital..pokok nya apk ini sangat membantu.. terimakasih 🙏🙏🙏,5,7/7/2025 2:46,terimah kasih dana..krna ada nya sekarang ewallet dana sangat membantu buat di jadikan dompet digital..pokok nya apk ini sangat membantu.. terimakasih 🙏🙏🙏,terimah kasih danakrna ada nya sekarang ewallet dana sangat membantu buat di jadikan dompet digitalpokok nya apk ini sangat membantu terimakasih,terimah kasih danakrna nya sekarang ewallet dana sangat membantu buat jadikan dompet digitalpokok nya apk sangat membantu terimakasih,"['terimah', 'kasih', 'danakrna', 'nya', 'sekarang', 'ewallet', 'dana', 'sangat', 'membantu', 'buat', 'jadikan', 'dompet', 'digitalpokok', 'nya', 'apk', 'sangat', 'membantu', 'terimakasih']",terimah kasih danakrna nya sekarang ewallet dana sangat bantu buat jadi dompet digitalpokok nya apk sangat bantu terimakasih
Jefri Haikyuu,sangant membantu terimalsih,5,7/7/2025 2:44,sangant membantu terimalsih,sangant membantu terimalsih,sangant membantu terimalsih,"['sangant', 'membantu', 'terimalsih']",sangant bantu terimalsih
Sri Wahyu,semua jdi muda,5,7/7/2025 2:39,semua jdi muda,semua jdi muda,semua jdi muda,"['semua', 'jdi', 'muda']",semua jdi muda
Alzam Anawa,"transaksi ga masuk sma skali, pdhal di apk dana nya udh berhasil, parah",1,7/7/2025 2:38,"transaksi ga masuk sma skali, pdhal di apk dana nya udh berhasil, parah",transaksi ga masuk sma skali pdhal di apk dana nya udh berhasil parah,transaksi ga masuk sma skali pdhal apk dana nya udh berhasil parah,"['transaksi', 'ga', 'masuk', 'sma', 'skali', 'pdhal', 'apk', 'dana', 'nya', 'udh', 'berhasil', 'parah']",transaksi ga masuk sma skali pdhal apk dana nya udh hasil parah
Imran,terbaik👍💯,5,7/7/2025 2:36,terbaik👍💯,terbaik,terbaik,['terbaik'],baik
samih aliyandri,"kagak jelas buat laporan estimasi 2 hari sampai 7 hari blum di proses,lapor lg via bantuan di suruh nunggu lagi sampai kelar di proses,masa gk ada kejelasan dan gk bisa memastikan kapan selesai nya",2,7/7/2025 2:34,"kagak jelas buat laporan estimasi 2 hari sampai 7 hari blum di proses,lapor lg via bantuan di suruh nunggu lagi sampai kelar di proses,masa gk ada kejelasan dan gk bisa memastikan kapan selesai nya",kagak jelas buat laporan estimasi hari sampai hari blum di proseslapor lg via bantuan di suruh nunggu lagi sampai kelar di prosesmasa gk ada kejelasan dan gk bisa memastikan kapan selesai nya,kagak jelas buat laporan estimasi hari hari blum proseslapor lg via bantuan suruh nunggu kelar prosesmasa gk kejelasan gk memastikan kapan selesai nya,"['kagak', 'jelas', 'buat', 'laporan', 'estimasi', 'hari', 'hari', 'blum', 'proseslapor', 'lg', 'via', 'bantuan', 'suruh', 'nunggu', 'kelar', 'prosesmasa', 'gk', 'kejelasan', 'gk', 'memastikan', 'kapan', 'selesai', 'nya']",kagak jelas buat lapor estimasi hari hari blum proseslapor lg via bantu suruh nunggu kelar prosesmasa gk jelas gk pasti kapan selesai nya
Abdul Jinan,sangat bagus karena gpang untuk bertransaksi,5,7/7/2025 2:23,sangat bagus karena gpang untuk bertransaksi,sangat bagus karena gpang untuk bertransaksi,sangat bagus gpang bertransaksi,"['sangat', 'bagus', 'gpang', 'bertransaksi']",sangat bagus gpang transaksi
Adam Saja,"dibantu akun saya gak bisa login karena no hp saya sudah tidak ada,, cara loginnya gimana,. saya sudah terdapat di dana premium,, pin dan poto saya gak sudah lakukan",4,7/7/2025 2:19,"dibantu akun saya gak bisa login karena no hp saya sudah tidak ada,, cara loginnya gimana,. saya sudah terdapat di dana premium,, pin dan poto saya gak sudah lakukan",dibantu akun saya gak bisa login karena no hp saya sudah tidak ada cara loginnya gimana saya sudah terdapat di dana premium pin dan poto saya gak sudah lakukan,dibantu akun gak login no hp cara loginnya gimana terdapat dana premium pin poto gak lakukan,"['dibantu', 'akun', 'gak', 'login', 'no', 'hp', 'cara', 'loginnya', 'gimana', 'terdapat', 'dana', 'premium', 'pin', 'poto', 'gak', 'lakukan']",bantu akun gak login no hp cara loginnya gimana dapat dana premium pin poto gak laku
Raudatul Jannah,bagus skli dipakai transaksi tp syangnya tdk bsa dihapus riwayatnya tolong klo bisa ada fitur hapus riwayat,4,7/7/2025 2:13,bagus skli dipakai transaksi tp syangnya tdk bsa dihapus riwayatnya tolong klo bisa ada fitur hapus riwayat,bagus skli dipakai transaksi tp syangnya tdk bsa dihapus riwayatnya tolong klo bisa ada fitur hapus riwayat,bagus skli dipakai transaksi tp syangnya tdk bsa dihapus riwayatnya klo fitur hapus riwayat,"['bagus', 'skli', 'dipakai', 'transaksi', 'tp', 'syangnya', 'tdk', 'bsa', 'dihapus', 'riwayatnya', 'klo', 'fitur', 'hapus', 'riwayat']",bagus skli pakai transaksi tp syangnya tdk bsa hapus riwayat klo fitur hapus riwayat
Xanny,sudah 6 hari duit gwe belum balik dari dicuri oleh AXIS pihak dana gamau tanggung jawab sama sekali.. malah suruh lapor polisiii ... gmanaa sistem keamanan kalian.. dan gwe cek di tiktok makin banyak duit pelanggam yg hilang di curi axiss.. mana tanggung jawab nyaa oi pihak dana,1,7/7/2025 2:12,sudah 6 hari duit gwe belum balik dari dicuri oleh axis pihak dana gamau tanggung jawab sama sekali.. malah suruh lapor polisiii ... gmanaa sistem keamanan kalian.. dan gwe cek di tiktok makin banyak duit pelanggam yg hilang di curi axiss.. mana tanggung jawab nyaa oi pihak dana,sudah hari duit gwe belum balik dari dicuri oleh axis pihak dana gamau tanggung jawab sama sekali malah suruh lapor polisiii gmanaa sistem keamanan kalian dan gwe cek di tiktok makin banyak duit pelanggam yg hilang di curi axiss mana tanggung jawab nyaa oi pihak dana,hari duit gwe balik dicuri axis pihak dana gamau tanggung jawab sama sekali malah suruh lapor polisiii gmanaa sistem keamanan kalian gwe cek tiktok makin banyak duit pelanggam yg hilang curi axiss mana tanggung jawab nyaa oi pihak dana,"['hari', 'duit', 'gwe', 'balik', 'dicuri', 'axis', 'pihak', 'dana', 'gamau', 'tanggung', 'jawab', 'sama', 'sekali', 'malah', 'suruh', 'lapor', 'polisiii', 'gmanaa', 'sistem', 'keamanan', 'kalian', 'gwe', 'cek', 'tiktok', 'makin', 'banyak', 'duit', 'pelanggam', 'yg', 'hilang', 'curi', 'axiss', 'mana', 'tanggung', 'jawab', 'nyaa', 'oi', 'pihak', 'dana']",hari duit gwe balik curi axis pihak dana gamau tanggung jawab sama sekali malah suruh lapor polisiii gmanaa sistem aman kalian gwe cek tiktok makin banyak duit langgam yg hilang curi axiss mana tanggung jawab nyaa oi pihak dana
Supratman Adja,"bagus,tapi sayang fitur dana cicil gak muncul padahal pengguna lama dana,harap jangan di persulit",5,7/7/2025 2:08,"bagus,tapi sayang fitur dana cicil gak muncul padahal pengguna lama dana,harap jangan di persulit",bagustapi sayang fitur dana cicil gak muncul padahal pengguna lama danaharap jangan di persulit,bagustapi sayang fitur dana cicil gak muncul padahal pengguna lama danaharap jangan persulit,"['bagustapi', 'sayang', 'fitur', 'dana', 'cicil', 'gak', 'muncul', 'padahal', 'pengguna', 'lama', 'danaharap', 'jangan', 'persulit']",bagustapi sayang fitur dana cicil gak muncul padahal guna lama danaharap jangan sulit
unip pujitanto,sangat memusskan,5,7/7/2025 2:05,sangat memusskan,sangat memusskan,sangat memusskan,"['sangat', 'memusskan']",sangat memusskan
zaskia salwa,"susah menghubungi csnya dan penanganan kendala sangat lama sekali,penanganan sangat lama gada email masuk sudah 1minggu lebih",1,7/7/2025 1:55,"susah menghubungi csnya dan penanganan kendala sangat lama sekali,penanganan sangat lama gada email masuk sudah 1minggu lebih",susah menghubungi csnya dan penanganan kendala sangat lama sekalipenanganan sangat lama gada email masuk sudah minggu lebih,susah menghubungi csnya penanganan kendala sangat lama sekalipenanganan sangat lama gada email masuk minggu lebih,"['susah', 'menghubungi', 'csnya', 'penanganan', 'kendala', 'sangat', 'lama', 'sekalipenanganan', 'sangat', 'lama', 'gada', 'email', 'masuk', 'minggu', 'lebih']",susah hubung csnya tangan kendala sangat lama sekalipenanganan sangat lama gada email masuk minggu lebih
riyan fauzira,apalah ni dana barusan gua hapus dana trus instal lagi biasanya cuman pake pin sama wajah ni malah minta otp nomer hp sama wa udah gak dipake lagi padahal ada duit gajelas dana sumpah,1,7/7/2025 1:52,apalah ni dana barusan gua hapus dana trus instal lagi biasanya cuman pake pin sama wajah ni malah minta otp nomer hp sama wa udah gak dipake lagi padahal ada duit gajelas dana sumpah,apalah ni dana barusan gua hapus dana trus instal lagi biasanya cuman pake pin sama wajah ni malah minta otp nomer hp sama wa udah gak dipake lagi padahal ada duit gajelas dana sumpah,apalah ni dana barusan gua hapus dana trus instal biasanya cuman pake pin sama wajah ni malah minta otp nomer hp sama wa udah gak dipake padahal duit gajelas dana sumpah,"['apalah', 'ni', 'dana', 'barusan', 'gua', 'hapus', 'dana', 'trus', 'instal', 'biasanya', 'cuman', 'pake', 'pin', 'sama', 'wajah', 'ni', 'malah', 'minta', 'otp', 'nomer', 'hp', 'sama', 'wa', 'udah', 'gak', 'dipake', 'padahal', 'duit', 'gajelas', 'dana', 'sumpah']",apa ni dana barusan gua hapus dana trus instal biasa cuman pake pin sama wajah ni malah minta otp nomer hp sama wa udah gak dipake padahal duit gajelas dana sumpah
Dede Sumarna,semoga berkah,5,7/7/2025 1:51,semoga berkah,semoga berkah,semoga berkah,"['semoga', 'berkah']",moga berkah
Sutarjo,mudah dan aman bro,5,7/7/2025 1:50,mudah dan aman bro,mudah dan aman bro,mudah aman bro,"['mudah', 'aman', 'bro']",mudah aman bro
Alif Hasan,Susah di buka di updet tambah jelek trs kenapa tiap mau tarik tunai di alfa GK bisa trsalah balik lagi ke menu utama👎👎👎👎👎,1,7/7/2025 1:45,susah di buka di updet tambah jelek trs kenapa tiap mau tarik tunai di alfa gk bisa trsalah balik lagi ke menu utama👎👎👎👎👎,susah di buka di updet tambah jelek trs kenapa tiap mau tarik tunai di alfa gk bisa trsalah balik lagi ke menu utama,susah buka updet tambah jelek trs tiap mau tarik tunai alfa gk trsalah balik menu utama,"['susah', 'buka', 'updet', 'tambah', 'jelek', 'trs', 'tiap', 'mau', 'tarik', 'tunai', 'alfa', 'gk', 'trsalah', 'balik', 'menu', 'utama']",susah buka updet tambah jelek trs tiap mau tarik tunai alfa gk trsalah balik menu utama
Mas Hadijah,semoga dana semakin lancar,5,7/7/2025 1:45,semoga dana semakin lancar,semoga dana semakin lancar,semoga dana semakin lancar,"['semoga', 'dana', 'semakin', 'lancar']",moga dana makin lancar
Dikiaja udah,"coba dong dana login tidak harus pake otp kan bisa pakai vermuk,,soalnya banyak banget yang kartunya ilang atau sudah tida aktif lagi tolong di beri solusi",1,7/7/2025 1:40,"coba dong dana login tidak harus pake otp kan bisa pakai vermuk,,soalnya banyak banget yang kartunya ilang atau sudah tida aktif lagi tolong di beri solusi",coba dong dana login tidak harus pake otp kan bisa pakai vermuksoalnya banyak banget yang kartunya ilang atau sudah tida aktif lagi tolong di beri solusi,coba dong dana login pake otp kan pakai vermuksoalnya banyak banget kartunya ilang tida aktif beri solusi,"['coba', 'dong', 'dana', 'login', 'pake', 'otp', 'kan', 'pakai', 'vermuksoalnya', 'banyak', 'banget', 'kartunya', 'ilang', 'tida', 'aktif', 'beri', 'solusi']",coba dong dana login pake otp kan pakai vermuksoalnya banyak banget kartu ilang tida aktif beri solusi
Ali Syaidina,"Hallo saya tf ke nomer teman saya yg sudah lama tidak aktif, dan itu uang terakhir saya buat bulan ini, tolong ya di balas dengan mudah dan di bantu dengan sederhana saja:) jngn di bikin ribet saya tidak terlalu paham, cukup kmbalikan saldo nya, atau cukup perbolehkan teman saya log in dengan nomer yg sudah hilang tanpa harus nerima otp, pake scan wajah juga bisa kan?",2,7/7/2025 1:38,"hallo saya tf ke nomer teman saya yg sudah lama tidak aktif, dan itu uang terakhir saya buat bulan ini, tolong ya di balas dengan mudah dan di bantu dengan sederhana saja:) jngn di bikin ribet saya tidak terlalu paham, cukup kmbalikan saldo nya, atau cukup perbolehkan teman saya log in dengan nomer yg sudah hilang tanpa harus nerima otp, pake scan wajah juga bisa kan?",hallo saya tf ke nomer teman saya yg sudah lama tidak aktif dan itu uang terakhir saya buat bulan ini tolong ya di balas dengan mudah dan di bantu dengan sederhana saja jngn di bikin ribet saya tidak terlalu paham cukup kmbalikan saldo nya atau cukup perbolehkan teman saya log in dengan nomer yg sudah hilang tanpa harus nerima otp pake scan wajah juga bisa kan,hallo tf nomer teman yg lama aktif uang terakhir buat bulan balas mudah bantu sederhana jngn bikin ribet terlalu paham cukup kmbalikan saldo nya cukup perbolehkan teman log in nomer yg hilang nerima otp pake scan wajah kan,"['hallo', 'tf', 'nomer', 'teman', 'yg', 'lama', 'aktif', 'uang', 'terakhir', 'buat', 'bulan', 'balas', 'mudah', 'bantu', 'sederhana', 'jngn', 'bikin', 'ribet', 'terlalu', 'paham', 'cukup', 'kmbalikan', 'saldo', 'nya', 'cukup', 'perbolehkan', 'teman', 'log', 'in', 'nomer', 'yg', 'hilang', 'nerima', 'otp', 'pake', 'scan', 'wajah', 'kan']",hallo tf nomer teman yg lama aktif uang akhir buat bulan balas mudah bantu sederhana jngn bikin ribet terlalu paham cukup kmbalikan saldo nya cukup boleh teman log in nomer yg hilang nerima otp pake scan wajah kan
Fadly Zakaria17,Tranksanksi gagal namun tidak ada reffund mohon bantuan nya sudah menghubungi cs tetap respon no reffund,1,7/7/2025 1:37,tranksanksi gagal namun tidak ada reffund mohon bantuan nya sudah menghubungi cs tetap respon no reffund,tranksanksi gagal namun tidak ada reffund mohon bantuan nya sudah menghubungi cs tetap respon no reffund,tranksanksi gagal reffund mohon bantuan nya menghubungi cs tetap respon no reffund,"['tranksanksi', 'gagal', 'reffund', 'mohon', 'bantuan', 'nya', 'menghubungi', 'cs', 'tetap', 'respon', 'no', 'reffund']",tranksanksi gagal reffund mohon bantu nya hubung cs tetap respon no reffund
Pindo Skb,"uang gua ilang dana lu udah terkenal gk aman inget kompetitor lu blom ada kejadian begini siap"" aja bangrut klo terus begini",1,7/7/2025 1:37,"uang gua ilang dana lu udah terkenal gk aman inget kompetitor lu blom ada kejadian begini siap"" aja bangrut klo terus begini",uang gua ilang dana lu udah terkenal gk aman inget kompetitor lu blom ada kejadian begini siap aja bangrut klo terus begini,uang gua ilang dana lu udah terkenal gk aman inget kompetitor lu blom kejadian begini siap aja bangrut klo terus begini,"['uang', 'gua', 'ilang', 'dana', 'lu', 'udah', 'terkenal', 'gk', 'aman', 'inget', 'kompetitor', 'lu', 'blom', 'kejadian', 'begini', 'siap', 'aja', 'bangrut', 'klo', 'terus', 'begini']",uang gua ilang dana lu udah kenal gk aman inget kompetitor lu blom jadi begini siap aja bangrut klo terus begini
Rahmat Dani,cara login akun dana saya yang sudah tidak aktif lagi nomor nya gimana,1,7/7/2025 1:36,cara login akun dana saya yang sudah tidak aktif lagi nomor nya gimana,cara login akun dana saya yang sudah tidak aktif lagi nomor nya gimana,cara login akun dana aktif nomor nya gimana,"['cara', 'login', 'akun', 'dana', 'aktif', 'nomor', 'nya', 'gimana']",cara login akun dana aktif nomor nya gimana
Siti Aisyahpku23,kenapa saya dowload aplikasi dana tidak bisa terus keluar notifikasi data terbaru tidak berfungsi di perangkat hp saya,5,7/7/2025 1:35,kenapa saya dowload aplikasi dana tidak bisa terus keluar notifikasi data terbaru tidak berfungsi di perangkat hp saya,kenapa saya dowload aplikasi dana tidak bisa terus keluar notifikasi data terbaru tidak berfungsi di perangkat hp saya,dowload aplikasi dana terus keluar notifikasi data terbaru berfungsi perangkat hp,"['dowload', 'aplikasi', 'dana', 'terus', 'keluar', 'notifikasi', 'data', 'terbaru', 'berfungsi', 'perangkat', 'hp']",dowload aplikasi dana terus keluar notifikasi data baru fungsi perangkat hp
